<Athletic_Park_(Vancouver)>	Athletic Park (Vancouver)
<Metropolitan_Stores>	Metropolitan Stores
<Charles_in_Charge>	Charles in Charge
<Bubbleworks>	Bubbleworks
<Real_Madrid_C.F.>	Real Madrid C.F.
<PSV_Eindhoven>	PSV Eindhoven
<Vippetangen_Line>	Vippetangen Line
<Radio_New_Zealand>	Radio New Zealand
<La_Cadena_Deportiva>	La Cadena Deportiva
<The_Clairvoyant_(TV_series)>	The Clairvoyant (TV series)
<Harry_A._Marmer>	Harry A. Marmer
<Fung_Chi-wood>	Fung Chi-wood
<Tony_Denman>	Tony Denman
<HADAG>	HADAG
<Selma_Kurz>	Selma Kurz
<Georgia_Tech_Research_Corporation>	Georgia Tech Research Corporation
<Pauline_Brunius>	Pauline Brunius
<Hibernian_F.C.>	Hibernian F.C.
<Seagram>	Seagram
<Fernando_Carrillo>	Fernando Carrillo
<Daniel_Kleppner>	Daniel Kleppner
<Al_Jolson>	Al Jolson
<Sporting_Clube_de_Portugal_B>	Sporting Clube de Portugal B
<Elizabeth_(film)>	Elizabeth (film)
<Johannesburg>	Johannesburg
<Boxhill_(Louisville)>	Boxhill (Louisville)
<Njue_Kevin>	Njue Kevin
<São_Paulo_FC>	São Paulo FC
<Enchanted_April_(1935_film)>	Enchanted April (1935 film)
<Jay_Leno>	Jay Leno
<Philip_Venables>	Philip Venables
<Anel_Alexander>	Anel Alexander
<Jessie_Matthews>	Jessie Matthews
<AMC_Networks>	AMC Networks
<Minnie_Cumnock_Blodgett>	Minnie Cumnock Blodgett
<Ann_Lynn>	Ann Lynn
<Zeidler_Partnership_Architects>	Zeidler Partnership Architects
<Victor_Louis>	Victor Louis
<PRISM_(TV_network)>	PRISM (TV network)
<Craig_Shoemaker>	Craig Shoemaker
<Jenna_Stern>	Jenna Stern
<François_Marcela-Froideval>	François Marcela-Froideval
<Jae_U._Jung>	Jae U. Jung
<C._N._R._Rao>	C. N. R. Rao
<Vladimir_Prelog>	Vladimir Prelog
<Silent_Spring>	Silent Spring
<Nancy_Pelosi>	Nancy Pelosi
<Totally_Fun_Company>	Totally Fun Company
<Mary_F._Lyon>	Mary F. Lyon
<Stanislav_Smirnov>	Stanislav Smirnov
<David_Smith_(Victorian_politician)>	David Smith (Victorian politician)
<Pedro_Matías>	Pedro Matías
<Borko_Veselinović>	Borko Veselinović
<Tomasz_Zdebel>	Tomasz Zdebel
<Sheffield>	Sheffield
<Hammerwood_Park>	Hammerwood Park
<Jaguar_XF>	Jaguar XF
<Toulouse_FC>	Toulouse FC
<Claude_Dauphin_(actor)>	Claude Dauphin (actor)
<Mykelti_Williamson>	Mykelti Williamson
<Hugo_Alcântara>	Hugo Alcântara
<Bill_Snyder>	Bill Snyder
<Véra_Clouzot>	Véra Clouzot
<Shirley_Knight>	Shirley Knight
<Falkirk_F.C.>	Falkirk F.C.
<The_Left_(Germany)>	The Left (Germany)
<Will_Haining>	Will Haining
<Leonel_Fernández>	Leonel Fernández
<Joan_Capdevila>	Joan Capdevila
<And_the_Sea_Will_Tell>	And the Sea Will Tell
<SoMa_(novel)>	SoMa (novel)
<Edmond_Safra>	Edmond Safra
<Real_Madrid_Castilla>	Real Madrid Castilla
<José_Barkero>	José Barkero
<Diamond_Jim_Brady>	Diamond Jim Brady
<Camera_Café_(Philippine_TV_series)>	Camera Café (Philippine TV series)
<Children's_Aid_Society>	Children's Aid Society
<BMW_5_Series_(E34)>	BMW 5 Series (E34)
<Alan_Bundy>	Alan Bundy
<Lars_Onsager>	Lars Onsager
<Marshall_Bell>	Marshall Bell
<Ford_Taurus_(second_generation)>	Ford Taurus (second generation)
<Edwin_Howard_Armstrong>	Edwin Howard Armstrong
<Mayumi_Ogawa>	Mayumi Ogawa
<Manjul_Bhargava>	Manjul Bhargava
<South_Korea>	South Korea
<Anton-Hermann_Chroust>	Anton-Hermann Chroust
<Verein_für_Raumschiffahrt>	Verein für Raumschiffahrt
<Ethelind_Terry>	Ethelind Terry
<Stacy_Carter>	Stacy Carter
<Dow_Chemical_Company>	Dow Chemical Company
<Cádiz_CF>	Cádiz CF
<Herbert_York>	Herbert York
<The_Wasps>	The Wasps
<Lauren_Miller>	Lauren Miller
<Gary_Becker>	Gary Becker
<Peter_Koo>	Peter Koo
<Chester>	Chester
<KDDI>	KDDI
<Sue_Carol>	Sue Carol
<Beautiful_Game_Studios>	Beautiful Game Studios
<Le_Monde_diplomatique>	Le Monde diplomatique
<Luís_Zambujo>	Luís Zambujo
<ITV_Granada>	ITV Granada
<The_Son_(play)>	The Son (play)
<The_Wanderer_(1994_TV_series)>	The Wanderer (1994 TV series)
<Ozzie_Nelson>	Ozzie Nelson
<Sidney_Coleman>	Sidney Coleman
<Wolf_Prize_in_Physics>	Wolf Prize in Physics
<Hallelujah!_(TV_series)>	Hallelujah! (TV series)
<James_Gordon_Hislop>	James Gordon Hislop
<Babe_(film)>	Babe (film)
<Bal_a_Bali>	Bal a Bali
<Athena_Chu>	Athena Chu
<Lebanon_Valley_Railroad>	Lebanon Valley Railroad
<Mike_Trout>	Mike Trout
<José_Manuel_Casado>	José Manuel Casado
<Bülent_Arınç>	Bülent Arınç
<Piet_Oudolf>	Piet Oudolf
<University_of_Bern>	University of Bern
<R._J._Harris>	R. J. Harris
<Linda_Partridge>	Linda Partridge
<Rachel_Kaadzi_Ghansah>	Rachel Kaadzi Ghansah
<Mirch_Masala>	Mirch Masala
<Ulisse_Stacchini>	Ulisse Stacchini
<Jason_Brown_(footballer)>	Jason Brown (footballer)
<Trans7>	Trans7
<Army_Ballistic_Missile_Agency>	Army Ballistic Missile Agency
<Anglo-Saxon_Attitudes>	Anglo-Saxon Attitudes
<IEEE_Alexander_Graham_Bell_Medal>	IEEE Alexander Graham Bell Medal
<Hellenic_Republic_Asset_Development_Fund>	Hellenic Republic Asset Development Fund
<Henri_Poincaré_Prize>	Henri Poincaré Prize
<David_Tilson>	David Tilson
<Bushwick_Democratic_Club_House>	Bushwick Democratic Club House
<Macquarie_University>	Macquarie University
<William_Hogg_House>	William Hogg House
<André_Lussier>	André Lussier
<Kurt_H._Debus>	Kurt H. Debus
<Sergey_Shoygu>	Sergey Shoygu
<United_States_men's_national_under-17_soccer_team>	United States men's national under-17 soccer team
<Gerry_Peyton>	Gerry Peyton
<Sigourney_Weaver>	Sigourney Weaver
<Jim_Branning>	Jim Branning
<Kamal_Dasgupta>	Kamal Dasgupta
<Conservative_Party_of_Canada>	Conservative Party of Canada
<Patrick_Modiano>	Patrick Modiano
<Thomas_Arboe>	Thomas Arboe
<Nicole_Krauss>	Nicole Krauss
<Gilbert_Bennion>	Gilbert Bennion
<SpVgg_Greuther_Fürth>	SpVgg Greuther Fürth
<Hideki_Yukawa>	Hideki Yukawa
<Drishyam>	Drishyam
<Manchester_City_F.C.>	Manchester City F.C.
<Janssen_Medal_(French_Academy_of_Sciences)>	Janssen Medal (French Academy of Sciences)
<Auckland_Art_Gallery_Toi_o_Tāmaki>	Auckland Art Gallery Toi o Tāmaki
<Jacques_Chirac>	Jacques Chirac
<John_Chu>	John Chu
<Carola_Stern>	Carola Stern
<Betty_Ford>	Betty Ford
<Sonia_Sotomayor>	Sonia Sotomayor
<Sarah_Townsend>	Sarah Townsend
<Liverpool>	Liverpool
<Hermann_Emil_Fischer>	Hermann Emil Fischer
<Belgrade>	Belgrade
<Helene_Costello>	Helene Costello
<UD_Arena>	UD Arena
<Forest_of_Dean_Central_Railway>	Forest of Dean Central Railway
<Seville>	Seville
<Barbara_Fiske_Calhoun>	Barbara Fiske Calhoun
<Jimmy_O'Donnell>	Jimmy O'Donnell
<Oh_Joon>	Oh Joon
<Bruce_McCandless_II>	Bruce McCandless II
<Norwegian_Wood_(novel)>	Norwegian Wood (novel)
<TEDA_Football_Stadium>	TEDA Football Stadium
<Manhattan>	Manhattan
<Christine_Kaufmann>	Christine Kaufmann
<Edmond_Adolphe_de_Rothschild>	Edmond Adolphe de Rothschild
<San_Diego>	San Diego
<France_national_under-18_football_team>	France national under-18 football team
<A_Promenade_of_the_Hearts>	A Promenade of the Hearts
<Helen_Stenborg>	Helen Stenborg
<Mike_Cahill_(director)>	Mike Cahill (director)
<West_Perth,_Western_Australia>	West Perth, Western Australia
<Stephen_Smale>	Stephen Smale
<Uppsala>	Uppsala
<Joseph_Rotblat>	Joseph Rotblat
<Bangalore>	Bangalore
<Little_Dorrit_(TV_series)>	Little Dorrit (TV series)
<Atinale_Al_Precio>	Atinale Al Precio
<A._P._J._Abdul_Kalam>	A. P. J. Abdul Kalam
<Royal_College_of_Physicians_of_Edinburgh>	Royal College of Physicians of Edinburgh
<Clay's_Way>	Clay's Way
<Victoria_Stadium_(Gibraltar)>	Victoria Stadium (Gibraltar)
<50–50_(game_show)>	50–50 (game show)
<Karma_Cola>	Karma Cola
<George_N._Stearns>	George N. Stearns
<Peter_Ganine>	Peter Ganine
<Jan_Rubeš>	Jan Rubeš
<F.C._Penafiel>	F.C. Penafiel
<Dan_Castellaneta>	Dan Castellaneta
<Don't_Go_Near_the_Water_(novel)>	Don't Go Near the Water (novel)
<Bernard_Katz>	Bernard Katz
<Ernest_Orlando_Lawrence_Award>	Ernest Orlando Lawrence Award
<Philippe_de_Broca>	Philippe de Broca
<Donald_Duk>	Donald Duk
<Václav_Vacek>	Václav Vacek
<Clara_Pontoppidan>	Clara Pontoppidan
<Cole_Prize>	Cole Prize
<Yuva_Gaurav_Puraskar>	Yuva Gaurav Puraskar
<International_Institute_for_Strategic_Studies>	International Institute for Strategic Studies
<Raffaella_Baracchi>	Raffaella Baracchi
<Subrahmanyan_Chandrasekhar>	Subrahmanyan Chandrasekhar
<Burbank,_California>	Burbank, California
<Baby_Einstein>	Baby Einstein
<MassMutual_Center>	MassMutual Center
<Michael_Faraday_Prize>	Michael Faraday Prize
<Dennis_Sullivan>	Dennis Sullivan
<Saul_Alinsky>	Saul Alinsky
<Norma_Eberhardt>	Norma Eberhardt
<Kemble_Scott>	Kemble Scott
<Lapandav>	Lapandav
<Iván_Zarandona>	Iván Zarandona
<Bibi_Andersson>	Bibi Andersson
<Qian_Xuesen>	Qian Xuesen
<Lou_Breslow>	Lou Breslow
<Tall_Story>	Tall Story
<Zamora_CF>	Zamora CF
<Lost_Souls_(Poppy_Z._Brite_novel)>	Lost Souls (Poppy Z. Brite novel)
<Massry_Prize>	Massry Prize
<Grand_Oriental_Hotel>	Grand Oriental Hotel
<Bertrand_Halperin>	Bertrand Halperin
<Canberra>	Canberra
<Kitty_McHugh>	Kitty McHugh
<Abel_Prize>	Abel Prize
<Candlewick_(character)>	Candlewick (character)
<Radka_Donnell>	Radka Donnell
<King-Sun_Fu>	King-Sun Fu
<The_Song_of_Everlasting_Sorrow_(novel)>	The Song of Everlasting Sorrow (novel)
<Robert_J._Shiller>	Robert J. Shiller
<Leslye_Headland>	Leslye Headland
<Irwin_M._Jacobs>	Irwin M. Jacobs
<Erin_Robinson>	Erin Robinson
<Ufukhan_Bayraktar>	Ufukhan Bayraktar
<Scot_FM>	Scot FM
<Owen_Willans_Richardson>	Owen Willans Richardson
<The_Rescuers>	The Rescuers
<Candy_Carson>	Candy Carson
<Rosie_(TV_series)>	Rosie (TV series)
<Diana_Wynyard>	Diana Wynyard
<Anil_Chavda>	Anil Chavda
<Daniel_Chatto>	Daniel Chatto
<Jim_Jeffords>	Jim Jeffords
<Alicia_Alonso>	Alicia Alonso
<Matthew_Meselson>	Matthew Meselson
<Jace_Alexander>	Jace Alexander
<Ghulami>	Ghulami
<Arne_L._Kalleberg>	Arne L. Kalleberg
<Vicky_Longomba>	Vicky Longomba
<The_Discovery_of_Heaven>	The Discovery of Heaven
<1._FC_Nürnberg>	1. FC Nürnberg
<William_Blum>	William Blum
<Charles_Sumner>	Charles Sumner
<Elie_Wiesel>	Elie Wiesel
<Rajanikanta_Bordoloi>	Rajanikanta Bordoloi
<Coreplay>	Coreplay
<Bill_Cosby>	Bill Cosby
<Frozen_(2010_American_film)>	Frozen (2010 American film)
<William_Shepherd>	William Shepherd
<William_Goldman>	William Goldman
<Burhan_Qurbani>	Burhan Qurbani
<Greenback_Party>	Greenback Party
<University_of_Cincinnati_Academic_Health_Center>	University of Cincinnati Academic Health Center
<Antônio_Primo>	Antônio Primo
<Heinz_Pagels>	Heinz Pagels
<Earl_Wilbur_Sutherland_Jr.>	Earl Wilbur Sutherland Jr.
<Wes_Chatham>	Wes Chatham
<Tolman_Award>	Tolman Award
<Mike_Price>	Mike Price
<Guitar_Hero>	Guitar Hero
<Pininfarina>	Pininfarina
<Count_Jefferson_von_Pfeil_und_Klein-Ellguth>	Count Jefferson von Pfeil und Klein-Ellguth
<Blood_Upon_the_Rose>	Blood Upon the Rose
<Casa_Paoli>	Casa Paoli
<Historic_Scotland>	Historic Scotland
<Carling_brewery>	Carling brewery
<Gary_Dourdan>	Gary Dourdan
<Marvin_Minsky>	Marvin Minsky
<Phyllis_Gotlieb>	Phyllis Gotlieb
<Jill_Bennett_(British_actress)>	Jill Bennett (British actress)
<The_Trustees_of_Reservations>	The Trustees of Reservations
<C.D._Fátima>	C.D. Fátima
<Katherine_Locke>	Katherine Locke
<Frank_Furness>	Frank Furness
<Walter_Flanigan>	Walter Flanigan
<Connie_Yori>	Connie Yori
<Severo_Ochoa>	Severo Ochoa
<Luciana_Paluzzi>	Luciana Paluzzi
<Arun_Kumar_Biswas>	Arun Kumar Biswas
<Kennedy_Center_Honors>	Kennedy Center Honors
<Ben_Amos>	Ben Amos
<Dean_McDermott>	Dean McDermott
<Stutton_railway_station>	Stutton railway station
<Shelley_Winters>	Shelley Winters
<Eugene_Parker>	Eugene Parker
<Gabriel_Byrne>	Gabriel Byrne
<Toby_Young>	Toby Young
<Erick_Hawkins>	Erick Hawkins
<Seattle_University>	Seattle University
<Dorothy_Buffum_Chandler>	Dorothy Buffum Chandler
<Jonathan_Pereira_Rodríguez>	Jonathan Pereira Rodríguez
<A_Dream_Play>	A Dream Play
<Francisco_Borrego>	Francisco Borrego
<Father,_Dear_Father>	Father, Dear Father
<Associação_Naval_1º_de_Maio>	Associação Naval 1º de Maio
<Cedric_Foo>	Cedric Foo
<Nicholas_Brown_III>	Nicholas Brown III
<Carty_Salmon>	Carty Salmon
<Gerald_P._Carr>	Gerald P. Carr
<Meshulam_Riklis>	Meshulam Riklis
<Robin_Bartlett>	Robin Bartlett
<Estelle_Reiner>	Estelle Reiner
<Adventures_of_Wim>	Adventures of Wim
<The_Real_Ghostbusters>	The Real Ghostbusters
<Fernando_Torres_(actor)>	Fernando Torres (actor)
<Thomas_E._Baker>	Thomas E. Baker
<Edwin_Atherton>	Edwin Atherton
<Edward_Gibson>	Edward Gibson
<Don_McKellar>	Don McKellar
<Charles_C._Haight>	Charles C. Haight
<Rolf_Schock_Prizes>	Rolf Schock Prizes
<Long_Beach,_California>	Long Beach, California
<Benik_Afobe>	Benik Afobe
<Resham_Tipnis>	Resham Tipnis
<Rashid_Sunyaev>	Rashid Sunyaev
<Kuvempu>	Kuvempu
<Mercedes-Benz_W201>	Mercedes-Benz W201
<Southend_United_F.C.>	Southend United F.C.
<Toshiya_Sugiuchi>	Toshiya Sugiuchi
<The_Sea_Around_Us>	The Sea Around Us
<Thomas_White_(Australian_politician)>	Thomas White (Australian politician)
<Milena_Dravić>	Milena Dravić
<Caroline_Endres_Diescher>	Caroline Endres Diescher
<CVS_Health>	CVS Health
<Parallel_Media_Group>	Parallel Media Group
<Yeung_Sum>	Yeung Sum
<National_Humanities_Medal>	National Humanities Medal
<Romy_Schneider>	Romy Schneider
<Golda_Meir>	Golda Meir
<Hedda_Gabler>	Hedda Gabler
<Elche_CF>	Elche CF
<FC_Dinamo_Tbilisi>	FC Dinamo Tbilisi
<John_Brack>	John Brack
<Robert_Broom>	Robert Broom
<Cross_FM>	Cross FM
<Debra_Winger>	Debra Winger
<University_of_Notre_Dame>	University of Notre Dame
<Digital_Domain>	Digital Domain
<Nicholas_Georgescu-Roegen>	Nicholas Georgescu-Roegen
<Sheila_Gish>	Sheila Gish
<21st_Century_Fox>	21st Century Fox
<Gordon_Schachat>	Gordon Schachat
<Blind_Dates>	Blind Dates
<Oslo>	Oslo
<Son_Jun-ho_(actor)>	Son Jun-ho (actor)
<Franklin_Medal>	Franklin Medal
<Julia_Blake>	Julia Blake
<Horringford_railway_station>	Horringford railway station
<Michael_S._Longuet-Higgins>	Michael S. Longuet-Higgins
<Stacy_Haiduk>	Stacy Haiduk
<El_fantasma_del_convento>	El fantasma del convento
<CD_Logroñés>	CD Logroñés
<Harold_Seddon>	Harold Seddon
<National_Taiwan_University>	National Taiwan University
<Advent_Lutheran_Church_(New_York_City)>	Advent Lutheran Church (New York City)
<Günter_Grass>	Günter Grass
<Ford_Taurus_(fourth_generation)>	Ford Taurus (fourth generation)
<Vålerenga_Line>	Vålerenga Line
<Frank_Moorhouse>	Frank Moorhouse
<The_Minds_of_Billy_Milligan>	The Minds of Billy Milligan
<Brooklyn>	Brooklyn
<Fernando_Lopes_Alcântara>	Fernando Lopes Alcântara
<A_Common_Story>	A Common Story
<Take_Me_Out_(play)>	Take Me Out (play)
<John_Martin_&_Co.>	John Martin & Co.
<Peter_G._Levine>	Peter G. Levine
<Miquel_Robusté>	Miquel Robusté
<880_West_Broadway>	880 West Broadway
<Alice_(Moby_song)>	Alice (Moby song)
<Don_Diamont>	Don Diamont
<50/50_(2011_film)>	50/50 (2011 film)
<Darko_Bodul>	Darko Bodul
<Trudi_Roth>	Trudi Roth
<David_Boreanaz>	David Boreanaz
<Herbert_Hays>	Herbert Hays
<Tucson,_Arizona>	Tucson, Arizona
<Murat_Salar>	Murat Salar
<Shauna_Cross>	Shauna Cross
<Paul_Harding_(author)>	Paul Harding (author)
<James_C._Auchincloss>	James C. Auchincloss
<Bindu_Bhatt>	Bindu Bhatt
<Franco_Frattini>	Franco Frattini
<František_Janeček>	František Janeček
<Eddie_Laughton>	Eddie Laughton
<Maharashtra>	Maharashtra
<Swordsman_(TV_series)>	Swordsman (TV series)
<Stephen_G._Wheatland>	Stephen G. Wheatland
<Bergine>	Bergine
<Madras_Presidency>	Madras Presidency
<Mary_Ellis>	Mary Ellis
<Katrin_Cartlidge>	Katrin Cartlidge
<Graeme_Base>	Graeme Base
<Valencia_CF_Mestalla>	Valencia CF Mestalla
<Mid-Canada_Communications>	Mid-Canada Communications
<Pentemont_Abbey>	Pentemont Abbey
<Gene_V._Glass>	Gene V. Glass
<John_N._Mather>	John N. Mather
<Harlem_Yu>	Harlem Yu
<Ketti_Frings>	Ketti Frings
<Chhe_To_Chhe>	Chhe To Chhe
<Brynäs_IF>	Brynäs IF
<Mega_Man>	Mega Man
<42nd_Street_(musical)>	42nd Street (musical)
<Conrail>	Conrail
<Gus_Trikonis>	Gus Trikonis
<University_of_Pittsburgh>	University of Pittsburgh
<Helene_Thimig>	Helene Thimig
<Oveta_Culp_Hobby>	Oveta Culp Hobby
<Rehman_Sobhan>	Rehman Sobhan
<Digiturk>	Digiturk
<Hunter_Tylo>	Hunter Tylo
<George_Weston_Limited>	George Weston Limited
<Split,_Croatia>	Split, Croatia
<Michael_Donald_Brown>	Michael Donald Brown
<Molson_Coors_Brewing_Company>	Molson Coors Brewing Company
<Cindy_Adams>	Cindy Adams
<Naval_Postgraduate_School>	Naval Postgraduate School
<Mila_18>	Mila 18
<Lil_Wayne>	Lil Wayne
<Gil_Vicente_F.C.>	Gil Vicente F.C.
<NABC_Coach_of_the_Year>	NABC Coach of the Year
<Paul_Bracq>	Paul Bracq
<William_Etty>	William Etty
<Álex_Lombardero>	Álex Lombardero
<Olimpia_Carlisi>	Olimpia Carlisi
<Germany_national_under-21_football_team>	Germany national under-21 football team
<Harvey_Award>	Harvey Award
<André_Balazs>	André Balazs
<Signe_Baumane>	Signe Baumane
<Alison_Broinowski>	Alison Broinowski
<Rochester,_New_York>	Rochester, New York
<Anne_Twomey>	Anne Twomey
<Elías_Molina>	Elías Molina
<Sacramento,_California>	Sacramento, California
<Donovan_Leitch_(actor)>	Donovan Leitch (actor)
<A_Generation>	A Generation
<Bertram_Bruce>	Bertram Bruce
<A_Passage_to_India_(play)>	A Passage to India (play)
<Edward_Bellingham>	Edward Bellingham
<The_Daily_Mirror_(Sydney)>	The Daily Mirror (Sydney)
<West_Bromwich_Albion_F.C.>	West Bromwich Albion F.C.
<Louis_Febre>	Louis Febre
<Mohammed_bin_Rashid_Al_Maktoum>	Mohammed bin Rashid Al Maktoum
<Gilberto_dos_Santos_Souza_Júnior>	Gilberto dos Santos Souza Júnior
<Union_Tank_Car_Company>	Union Tank Car Company
<Best_Nine_Award>	Best Nine Award
<Edward_John_Ray>	Edward John Ray
<Janet_Sheen>	Janet Sheen
<New_Zealand_Liberal_Party>	New Zealand Liberal Party
<Werner_Almesberger>	Werner Almesberger
<Chauncey_Thomas>	Chauncey Thomas
<Twenty_Questions>	Twenty Questions
<The_Blind>	The Blind
<UD_Melilla>	UD Melilla
<FC_Barcelona_C>	FC Barcelona C
<Craig_Wireless>	Craig Wireless
<Theatre_Royal,_Glasgow>	Theatre Royal, Glasgow
<Amale_Andraos>	Amale Andraos
<Fort_Santiago>	Fort Santiago
<Thorkild_Jacobsen>	Thorkild Jacobsen
<Tom_Clancy's_Ghost_Recon_Advanced_Warfighter>	Tom Clancy's Ghost Recon Advanced Warfighter
<George_Brent>	George Brent
<Jean_Bourgain>	Jean Bourgain
<Sangeeta_N._Bhatia>	Sangeeta N. Bhatia
<Denver>	Denver
<George_Harrison>	George Harrison
<France_national_under-21_football_team>	France national under-21 football team
<Galloping_Romeo>	Galloping Romeo
<Patrick_Cronin_(actor)>	Patrick Cronin (actor)
<United_States_Air_Force_Academy>	United States Air Force Academy
<Jaguar_XJ_(X351)>	Jaguar XJ (X351)
<Englewood,_New_Jersey>	Englewood, New Jersey
<Marc_Crosas>	Marc Crosas
<Bill_Richards_(musician)>	Bill Richards (musician)
<RAI>	RAI
<Arbnor_Fejzullahu>	Arbnor Fejzullahu
<Shabba_Doo>	Shabba Doo
<Cyril_Hilsum>	Cyril Hilsum
<Paul_Goldberger>	Paul Goldberger
<Rochelle_Humes>	Rochelle Humes
<Musō_Shinden-ryū>	Musō Shinden-ryū
<Mumbai>	Mumbai
<Woodrow_Wilson>	Woodrow Wilson
<Ludvig_Faddeev>	Ludvig Faddeev
<C.D._Tondela>	C.D. Tondela
<Nikola_Vujadinović>	Nikola Vujadinović
<Stephen_Mann_(chemist)>	Stephen Mann (chemist)
<IMG_Academy>	IMG Academy
<Russ_Prize>	Russ Prize
<Van_Nuys>	Van Nuys
<Alison_LaPlaca>	Alison LaPlaca
<Vaughan_Pratt>	Vaughan Pratt
<Hazel_R._O'Leary>	Hazel R. O'Leary
<Oakland–Alameda_County_Coliseum>	Oakland–Alameda County Coliseum
<Nilda_Garré>	Nilda Garré
<Tallahassee,_Florida>	Tallahassee, Florida
<Syracuse,_New_York>	Syracuse, New York
<Sebastián_Saja>	Sebastián Saja
<Marc_Connelly>	Marc Connelly
<Richard_Clarke_Cabot>	Richard Clarke Cabot
<Rey_(Star_Wars)>	Rey (Star Wars)
<University_of_San_Francisco>	University of San Francisco
<Sunil_Gangopadhyay>	Sunil Gangopadhyay
<Melina_Mercouri>	Melina Mercouri
<Big_House,_Landshipping>	Big House, Landshipping
<Simon_Monjack>	Simon Monjack
<Stanford_White>	Stanford White
<Pete_Candoli>	Pete Candoli
<Gale_Anne_Hurd>	Gale Anne Hurd
<Xavi_Moro>	Xavi Moro
<Ken_Olsen>	Ken Olsen
<Alfred_Y._Cho>	Alfred Y. Cho
<Ariza_Makukula>	Ariza Makukula
<Seven_Men,_One_Woman>	Seven Men, One Woman
<CD_Tenerife>	CD Tenerife
<Fujiko_Takimoto>	Fujiko Takimoto
<Richard_Ravitch>	Richard Ravitch
<The_Aliens_(play)>	The Aliens (play)
<George_Stigler>	George Stigler
<Jena>	Jena
<Banca_Adriatica>	Banca Adriatica
<Emmanuel_Duah>	Emmanuel Duah
<Carrie_(2013_film)>	Carrie (2013 film)
<Adam_Eckersley>	Adam Eckersley
<Trenton,_New_Jersey>	Trenton, New Jersey
<Gabrielle_Beaumont>	Gabrielle Beaumont
<Lewisham>	Lewisham
<Hapoel_Tel_Aviv_F.C.>	Hapoel Tel Aviv F.C.
<The_Mystery_of_the_Grail>	The Mystery of the Grail
<Ross_Alexander>	Ross Alexander
<Thomas_Christiansen>	Thomas Christiansen
<Tommy_Flanagan>	Tommy Flanagan
<Milwaukee>	Milwaukee
<Robert_Guédiguian>	Robert Guédiguian
<Irving_Langmuir>	Irving Langmuir
<Ye_Xin_(writer)>	Ye Xin (writer)
<Milwaukee_Badgers>	Milwaukee Badgers
<The_Happening_(2008_film)>	The Happening (2008 film)
<Edgar_Rosenberg>	Edgar Rosenberg
<Fort_Worth,_Texas>	Fort Worth, Texas
<Robin_Dunne>	Robin Dunne
<Djuna_Barnes>	Djuna Barnes
<Alexandria,_Virginia>	Alexandria, Virginia
<John_Michael_McDonagh>	John Michael McDonagh
<Debra_Elmegreen>	Debra Elmegreen
<John_N._Maclean>	John N. Maclean
<Lorca_Deportiva_CF>	Lorca Deportiva CF
<Seibu_Railway>	Seibu Railway
<Thandie_Newton>	Thandie Newton
<Frank_Grillo>	Frank Grillo
<Associated_Press_College_Basketball_Coach_of_the_Year>	Associated Press College Basketball Coach of the Year
<Gilberto_Kassab>	Gilberto Kassab
<@WalmartLabs>	@WalmartLabs
<The_Obstacle_Is_the_Way>	The Obstacle Is the Way
<Antonio_de_Nebrija>	Antonio de Nebrija
<Beto_(footballer,_born_1982)>	Beto (footballer, born 1982)
<Carles_Coto>	Carles Coto
<Peter_Pan>	Peter Pan
<RxList>	RxList
<New_England_Patriots>	New England Patriots
<Forest_Green_Rovers_F.C.>	Forest Green Rovers F.C.
<CBS_Corporation>	CBS Corporation
<Pierre_Curie>	Pierre Curie
<Dudu_Biton>	Dudu Biton
<Kraków>	Kraków
<Harm_Lagaay>	Harm Lagaay
<David_Worth_Clark>	David Worth Clark
<Adelphia_Communications_Corporation>	Adelphia Communications Corporation
<Michael_Shanks>	Michael Shanks
<Geoffrey_Wilkinson>	Geoffrey Wilkinson
<Eugene_Merle_Shoemaker>	Eugene Merle Shoemaker
<Flight_from_the_USSR>	Flight from the USSR
<Bard_College_Campus>	Bard College Campus
<Edythe_Chapman>	Edythe Chapman
<Michel_Gill>	Michel Gill
<State_Transit_Authority>	State Transit Authority
<Osaka>	Osaka
<Rhonda_Fleming>	Rhonda Fleming
<John_J._Carty_Award_for_the_Advancement_of_Science>	John J. Carty Award for the Advancement of Science
<Ilya_Mikhalyov>	Ilya Mikhalyov
<The_Trip_to_Bountiful>	The Trip to Bountiful
<Dancing_on_Ice>	Dancing on Ice
<North_Carolina>	North Carolina
<Anne-Marie_Martin>	Anne-Marie Martin
<Michael_J._S._Dewar>	Michael J. S. Dewar
<Banco_di_Sicilia>	Banco di Sicilia
<Michael_Barrington>	Michael Barrington
<Aleksandar_Tomov_(politician)>	Aleksandar Tomov (politician)
<Fascinating_Womanhood>	Fascinating Womanhood
<Hainan_Airlines>	Hainan Airlines
<Joan_Didion>	Joan Didion
<Alfred_Murdoch>	Alfred Murdoch
<Quezon_City>	Quezon City
<Mal_Colston>	Mal Colston
<Banca_Monte_dei_Paschi_di_Siena>	Banca Monte dei Paschi di Siena
<Kenji_Yamamoto_(composer_born_1964)>	Kenji Yamamoto (composer born 1964)
<John_Merivale>	John Merivale
<Kozo_Watanabe_(engineer)>	Kozo Watanabe (engineer)
<Louise_Homer>	Louise Homer
<Shanghai>	Shanghai
<Harry_Alan_Towers>	Harry Alan Towers
<Gail_Zappa>	Gail Zappa
<Eve_Brent>	Eve Brent
